id,pump_code,test_name,vacuum,adjusting_time,measuring_time,motor_speed,target_pressure,min_direct_flow,max_direct_flow,min_back_flow,max_back_flow,regulator_current,pcv_current,calibration_min_i,calibration_max_i,calibration_i1,calibration_i2,calibration_i_offset,is_custom
9000,03L130755AL,11,TRUE,10,20,2500,500,5.4,20.4,,,0.7,,,,,,,FALSE
9001,03L130755AL,12,TRUE,10,20,2500,500,2.4,5.4,,,0.54,,,,,,,FALSE
9002,03L130755AL,13,TRUE,10,20,2500,0,0,0.72,,,0,,,,,,,FALSE
9003,03L130755AN,1,FALSE,60,,500,0,,,,,1.7,,,,,,,FALSE
9004,03L130755AN,2,FALSE,60,,2000,500,,,,,1.7,,,,,,,FALSE
9005,03L130755AN,5,FALSE,10,20,120,250,2.4,,,,1.7,,,,,,,FALSE
9006,03L130755AN,6,FALSE,10,20,120,1000,2.4,4.8,,,1.7,,,,,,,FALSE
9007,03L130755AN,7,FALSE,10,20,1500,1600,43.8,53.4,,,1.7,,,,,,,FALSE
9008,03L130755AN,8,FALSE,10,20,2500,500,81,91.8,24,46.02,1.7,,,,,,,FALSE
9009,03L130755AN,10,FALSE,10,20,2500,500,72,85.2,,,1.4,,,,,,,FALSE
9010,03L130755AN,11,FALSE,10,20,2500,500,7.2,22.2,,,0.7,,,,,,,FALSE
9011,03L130755AN,12,FALSE,10,20,2500,500,4.2,7.2,,,0.54,,,,,,,FALSE
9012,03L130755AN,13,FALSE,10,20,2500,0,0,0.72,,,0,,,,,,,FALSE
9013,03L130755E,1,FALSE,60,,500,0,,,,,1.7,,,,,,,FALSE
9014,03L130755E,2,TRUE,60,,2000,500,,,,,1.7,,,,,,,FALSE
9015,03L130755E,5,TRUE,10,20,120,250,1.8,,,,1.7,,,,,,,FALSE
9016,03L130755E,6,TRUE,10,20,120,1000,1.2,4.2,,,1.7,,,,,,,FALSE
9017,03L130755E,7,TRUE,10,20,1500,1600,40.2,53.4,,,1.7,,,,,,,FALSE
9018,03L130755E,8,TRUE,10,20,2500,500,81,91.8,24,46.02,1.7,,,,,,,FALSE
9019,03L130755E,10,TRUE,10,20,2500,500,66,77.4,,,1.4,,,,,,,FALSE
9020,03L130755E,11,TRUE,10,20,2500,500,5.4,20.4,,,0.7,,,,,,,FALSE
9021,03L130755E,12,TRUE,10,20,2500,500,2.4,5.4,,,0.54,,,,,,,FALSE
9022,03L130755E,13,TRUE,10,20,2500,0,0,0.72,,,0,,,,,,,FALSE
9023,03L130755H,1,FALSE,60,,500,0,,,,,1.7,,,,,,,FALSE
9024,03L130755H,2,FALSE,60,,2000,500,,,,,1.7,,,,,,,FALSE
9025,03L130755H,5,FALSE,10,20,120,250,2.4,,,,1.7,,,,,,,FALSE
9026,03L130755H,6,FALSE,10,20,120,1000,2.4,4.8,,,1.7,,,,,,,FALSE
9027,03L130755H,7,FALSE,10,20,1500,1600,43.8,53.4,,,1.7,,,,,,,FALSE
9028,03L130755H,8,FALSE,10,20,2500,500,81,91.8,24,46.02,1.7,,,,,,,FALSE
9029,03L130755H,10,FALSE,10,20,2500,500,72,85.2,,,1.4,,,,,,,FALSE
9030,03L130755H,11,FALSE,10,20,2500,500,7.2,22.2,,,0.7,,,,,,,FALSE
9031,03L130755H,12,FALSE,10,20,2500,500,4.2,7.2,,,0.54,,,,,,,FALSE
9032,03L130755H,13,FALSE,10,20,2500,0,0,0.72,,,0,,,,,,,FALSE
9033,111101064P0000,1,FALSE,60,,500,0,,,,,0,,,,,,,FALSE
9034,111101064P0000,2,TRUE,60,,2000,500,,,,,0,,,,,,,FALSE
9035,111101064P0000,3,TRUE,10,20,600,250,1.8,3.6,,,,,0.95,1.15,0.95,1,,FALSE
9036,111101064P0000,4,TRUE,10,20,2000,2000,37.2,112.8,,,,,,,,,-0.41,FALSE
9037,111101064P0000,5,TRUE,10,20,200,350,15.24,,,,0,,,,,,,FALSE
9038,111101064P0000,7,TRUE,10,20,2000,2000,147,,,,0,,,,,,,FALSE
9039,111101064P0000,10,TRUE,10,20,3500,0,,0.84,,,1.3,,,,,,,FALSE
9040,1111010A720000,1,FALSE,60,,500,0,,,,,0,,,,,,,FALSE
9041,1111010A720000,2,TRUE,60,,2000,500,,,,,0,,,,,,,FALSE
9042,1111010A720000,3,TRUE,10,20,600,250,0.9,2.7,,,,,0.88,1.08,0.88,0.93,,FALSE
9043,1111010A720000,4,TRUE,10,20,2000,1800,25.2,52.8,,,,,,,,,-0.34,FALSE
9044,1111010A720000,5,TRUE,10,20,100,350,3.96,,,,0,,,,,,,FALSE
9045,1111010A720000,7,TRUE,10,20,2000,1800,86.4,,,,0,,,,,,,FALSE
9046,1111010A720000,10,TRUE,10,20,3500,0,,0.84,,,1.3,,,,,,,FALSE
9047,1111010C000000,1,FALSE,60,,500,0,,,,,0,,,,,,,FALSE
9048,1111010C000000,2,TRUE,60,,2000,500,,,,,0,,,,,,,FALSE
9049,1111010C000000,3,TRUE,10,20,600,250,0.9,2.7,,,,,0.94,1.14,0.94,0.99,,FALSE
9050,1111010C000000,4,TRUE,10,20,2000,1800,21.6,52.8,,,,,,,,,-0.32,FALSE
9051,1111010C000000,5,TRUE,10,20,200,350,8.04,,,,0,,,,,,,FALSE
9052,1111010C000000,7,TRUE,10,20,2000,1800,86.4,,,,0,,,,,,,FALSE
9053,1111010C000000,10,TRUE,10,20,3500,0,,0.84,,,1.3,,,,,,,FALSE
9054,1111010L000000,1,FALSE,60,,500,0,,,,,0,,,,,,,FALSE
9055,1111010L000000,2,TRUE,60,,2000,500,,,,,0,,,,,,,FALSE
9056,1111010L000000,3,TRUE,10,20,600,250,1.8,3.6,,,,,0.95,1.15,0.95,1,,FALSE
9057,1111010L000000,4,TRUE,10,20,2000,1800,36,108,,,,,,,,,-0.41,FALSE
9058,1111010L000000,5,TRUE,10,20,200,350,12.36,,,,0,,,,,,,FALSE
9059,1111010L000000,7,TRUE,10,20,2000,1800,129.6,,,,0,,,,,,,FALSE
9060,1111010L000000,10,TRUE,10,20,3500,0,,0.84,,,1.3,,,,,,,FALSE
9061,1-15603508-#,1,FALSE,60,,500,0,,,,,0,,,,,,,FALSE
9062,1-15603508-#,2,TRUE,60,,2000,500,,,,,0,,,,,,,FALSE
9063,1-15603508-#,3,TRUE,10,20,600,250,1.8,3.6,,,,,0.95,1.15,0.95,1,,FALSE
9064,1-15603508-#,4,TRUE,10,20,2000,1800,52.8,127.2,,,,,,,,,-0.41,FALSE
9065,1-15603508-#,5,TRUE,10,20,100,350,5.76,9.12,,,0,,,,,,,FALSE
9066,1-15603508-#,7,TRUE,10,20,2000,1800,144.6,173.4,,,0,,,,,,,FALSE
9067,1-15603508-#,10,TRUE,10,20,3500,0,,0.84,,,1.29,,,,,,,FALSE
